name,rating_info,review_text
Akia,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed about a week",Great place! Felt like home! Easily accessible and great location!
Troy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Quiet nice little getaway. Great place
Jesse,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Very clean and the host was fast to reply. I would definitely stay here again!!
Kimberly,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","We had a great stay everything was very clean. The house was very spacious.
And and the location was great lots of stores and Restaurants Nearby Would definitely stay there again"
Michael,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","Great home conveniently located close to River Ranch in Lafayette. Great communication, clean and has everything one could need."
Lynne,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","This is the second time we’ve stayed at Jay’s place while on business in Lafayette. It’s clean and comfortable, well appointed and located centrally near River Ranch and several grocery stores/restos. Jay is also very responsive as a host. Thumbs up again!"
Brittney,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Jay was super quick to respond to any and all questions! Very accommodating!
Kimberly,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",I would definitely stay at this place again. It has to be the cleanest place that we have ever stayed in a rental. They were super responsive to our requests and very kind. The house is super cozy and nearby to all the local shops and restaurants. Thank you!
Nora,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","So great to be back in Jay and Kim’s place. It’s my go-to for going to Lafayette. Lovely space, comfortable bed, clean, and on a quiet dead end street. Will definitely hope they’re available for my next trip to the area."
Cori,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Easy check in and checkout. Property exactly as described. Host very pleasant, informative and accommodating. Highly recommend."
Ivan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Very nice and close to River Ranch
Ashley,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","My parents, grandma and daughter stayed and enjoyed it. Very convenient their first airbnb, it was wonderful for them! Communication was great Jay helped along the way before getting there. Thank you!"
Mallory,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Wonderful and cozy home, that felt like home. The location is wonderfully located near restaurants and shopping."
Brandi,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with a pet","Jay’s place is conveniently located to Whole Foods, coffee shops, and restaurants but secluded enough to be quiet. It was perfect for our short trip to see family. Jay was proactive and made sure we had everything we needed. Thanks Jay, for being a great host!"
Eric Joseph,"Rating, 5 stars
,
·
September 2023
,
·
Stayed about a week","Great place! Clean, convenient and great location. Well worth the price."
Lynne,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Loved Jay’s place. He had every amenity we needed … and more! He thought of everything! His place is clean, tastefully decorated and very comfortable. Our first experience with an Airbnb and it was just great. Hope to stay there again next business trip to Lafayette."
Gloria,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with a pet",Jay was a gracious host and communicated promptly when I had questions. It’s a beautiful clean and spacious home and was so well suited for our trip. My husband and I stayed downstairs and my father in law had his own space upstairs. And there was even a nice enclosed grassy area for our small dog to play in off leash!
Scott,"Rating, 5 stars
,
·
July 2023
,
·
Stayed about a week",I had a wonderful stay at Jay's place. It is a beautiful home and very much what I a used to at my home. It was quiet and I was able to get work done and be close to many restaurants and great shopping. Top notch!
Bart,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","The place was excellent clean, quiet and comfortable!"
Amy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Very comfortable and clean home. Fully stocked with needed amenities. Nice and quiet too.
Olivia,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with a pet",The pictures don’t do this house justice. It was a beautiful home and was perfect for our weekend get away. There’s a personal car port for your vehicle and check-in was a breeze. We brought along my dog and the side yard was plenty for him to do his business. The furniture was comfortable and the beds were great also. It’s also in a great location so we never had to drive more than a few minutes to get to where we wanted to go. I would absolutely come back!
Les,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Jay is a super host; professional, responsive and courteous. The home is spotless and well designed. I would rent again when in Lafayette."
Max,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Second time staying at this property. Once again, nothing disappoints! Cannot wait to be back!"
Rachel,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with a pet",Loved the little touches! Super comfy king sized bed and lots of space for our baby to crawl around. Jay was so helpful and easy to communicate with! We had an extended stay and it felt like home right away.
Nora,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","Jay’s place was perfectly located for me to visit family. Great having covered parking too. Comfy king-size bed in main bedroom, long lounge-y sectional for watching tv, and thoughtfully chilled bottled water on hand. Quiet street yet close to shopping. He was very responsive, as well. Will hope it’s available for my next visit!"
Angelle,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","The house was just as described and easy to find. The neighborhood was quiet and there are lots of choices for restaurants, a grocery store, and lots of other stuff nearby."
Paul,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Great place exactly as advertised. Host had everything we needed and was extremely helpful
Clark,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Great experience.. just as advertised. Host was responsive but not intrusive. Would strongly recommend
Jackson,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",We were super happy with the place overall and really enjoyed our stay. It was super close to the mall and many shopping areas as well as many restaurants and movie theaters. The place was very clean and the kitchen was nice to use.
Treylon,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Great Location and neighbors are friendly. Spotless place. 5 stars.
Sherri,"Rating, 5 stars
,
·
March 2023
,
·
Stayed about a week","The house was extremely comfortable, spotless, well stocked, and in a fantastic location. The owner reached out to ensure we were comfortable and had everything we needed. Great place!"
Justin,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","As a business professional, I travel a lot. Jay's place was one of, if not the best places I've stayed at. Thanks Jay, I will be back."
Scott,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",Very clean and modern accommodations. Great location near the hospital and restaurants.
Max,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Fantastic, and great property!"
Cruz,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Great place to stay, with restaurants and stores at short distance. Also great communication by Jay, who checked on us during our stay."
Bryant,"Rating, 5 stars
,
·
December 2022
,
·
Stayed with a pet",Jay was a great host and was very responsive if needed. The home is in a great location to local shopping and restaurants and was a comfortable and clean place to stay while visiting family in the area. Would certainly recommend this home and Jay to other potential guests!
Nathaniel,"Rating, 5 stars
,
·
November 2022
,
·
Stayed with a pet",Great experience in a great location
Jennifer,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights",Very comfortable and clean! Look forward to staying again!
Sasha,"Rating, 5 stars
,
·
November 2022
,
·
Stayed with a pet","Great house, great location!"
David,"Rating, 5 stars
,
·
October 2022
,
·
Stayed with a pet",Highly recommend. Great communication. Great location. Very comfortable beds. Very quiet. Great. Great. Great.
Lori,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights","Jay’a place was so nice. It was clean, comfortable, and in a great location! Check in was very easy. I will definitely try and stay at Jay’s place when I’m back in town!"
Jack,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with a pet",Very convenient to food and fun in the Lafayette area. A quiet place to come home to in the evenings.
Ashlyn,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with kids",We had a wonderful stay while visiting friends and family! Perfect location and great host. Would absolutely recommend and book again!
Letha,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with a pet",Great place to stay clean and easy access to main routes
Sammie,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights",Everything was as published and great. Thank you!
Stephanie,"Rating, 5 stars
,
·
June 2022
,
·
Stayed a few nights",Was a terrific choice would definitely stay there again! Super clean and very comfortable stay!
Beth,"Rating, 5 stars
,
·
June 2022
,
·
Stayed a few nights","Great communication with host, perfect location, looks exactly as shown in pictures! Highly recommend!"
David,"Rating, 5 stars
,
·
June 2022
,
·
Stayed with a pet","Jay and Kim communicated all throughout the process. Their place is clean. Convenient to shopping, dining, and a short drive to UL. The beds were very comfortable. This was my second time staying here and it won’t be my last."
Mike,"Rating, 4 stars
,
·
June 2022
,
·
Stayed with kids",Was in town for work and made the stay much better
Alex,"Rating, 5 stars
,
·
May 2022
,
·
Stayed a few nights",Very clean and comfortable townhouse. Jay was super kind and accommodating. Very close to downtown.
Judea,"Rating, 5 stars
,
·
May 2022
,
·
Stayed with a pet",The townhome is gorgeous and immaculately cleaned. The neighborhood is extremely quiet and close to many restaurants and stores. We were able to relax as a family in the large living area. Check-in and checkout were also easy. Thank you for a great stay!
Sharon,"Rating, 5 stars
,
·
May 2022
,
·
Stayed with a pet","I was visiting Lafayette as the place I grew up 60+ years ago. This home is in a perfect location to explore Lafayette and the surroundings area. Very clean. Has fenced backyard space, if you are bringing a dog. There is also a nice area to walk your dog around with grass. The location is very safe and excellent grocery shopping is very close. The bed is comfortable and the kitchen has a large refrigerator, stove, oven, microwave. The washer and dryer are great. There were 2 of us and our dog. Didn't need to use the 2nd bedroom which is upstairs with a bath. Jay is very responsive and takes care of your requests very quickly.
A great stay. I would recommend to anyone visiting Lafayette."
Romelia,"Rating, 5 stars
,
·
May 2022
,
·
Stayed with kids",I will definitely stay here when visiting again. The location was close to everywhere I needed to go. Very clean and comfortable. No complaints!
Ashley,"Rating, 5 stars
,
·
April 2022
,
·
Group trip","Very nice host, easy to work with, perfect house for what we needed."
Kalishar,"Rating, 5 stars
,
·
April 2022
,
·
Stayed with a pet",The home was nice and clean. We stayed over the Holidays and everything went well.
Juan Carlos,"Rating, 5 stars
,
·
April 2022
,
·
Stayed with a pet","Kim and Jay are really super hosts. They were very supportive from the first day until the day we left their marvelous place. This house is located in a very convenient area, if you come to Lafayette you really want to be here near everything, in a friendly neighborhood and in a very comfortable place."
Shawn M,"Rating, 5 stars
,
·
March 2022
,
·
Stayed a few nights","Excellent, clean, highly recommend!"
Terry,"Rating, 5 stars
,
·
March 2022
,
·
Stayed over a week","This place had it all- clean, good (and quiet) location and a communicative and helpful host. I highly recommend this place for anyone looking to stay in Lafayette."
Mark,"Rating, 5 stars
,
·
February 2022
,
·
Stayed a few nights","Extremely clean, very quiet, and tastefully decorated. Was a great location for our trip, both for visiting in Lafayette as well as nearby areas (especially Avery Island)."
David,"Rating, 5 stars
,
·
January 2022
,
·
Stayed with a pet",Very clean and comfortable home. Awesome location close to dining and shopping. You will not be disappointed.
Mark,"Rating, 5 stars
,
·
January 2022
,
·
Stayed a few nights",Expect a great stay! Very convenient location for restaurants and shopping! Very nice house!!
Beth,"Rating, 5 stars
,
·
January 2022
,
·
Stayed a few nights","Excellent location, very clean, very responsive host, amply sized rooms. Recommended."
Angella,"Rating, 5 stars
,
·
January 2022
,
·
Stayed over a week","The pictures of Jay's place give you a good idea of what to expect. There's plenty of space, the location is great, and you have everything you need to relax and have a good time."
Edison,"Rating, 5 stars
,
·
December 2021
,
·
Stayed about a week","HIGHLY RECOMMENDED
AWESOME HOST!!!"
Graham,"Rating, 5 stars
,
·
November 2021
,
·
Stayed with a pet","Great stay. Very comfortable, close to everything and prompt communication with Jay."
Angel,"Rating, 5 stars
,
·
November 2021
,
·
Stayed about a week","Everything was great including the communication from Jay. If we're in the area again, we will definitely reach out."
Angel,"Rating, 5 stars
,
·
November 2021
,
·
Stayed over a week",Everything was great.
Randy,"Rating, 4 stars
,
·
March 2020
,
·
Stayed a few nights",Had a great time in Lafayette!
Sebastian,"Rating, 5 stars
,
·
February 2020
,
·
Stayed a few nights",Expect to have a great time.
Melissa,"Rating, 5 stars
,
·
February 2020
,
·
Stayed one night",This place is perfect! The house is very clean and spacious. I hope we to stay here again the next time we’re in town.
Madeline,"Rating, 5 stars
,
·
February 2020
,
·
Stayed about a week","Great place away from home. Clean,safe, close to everything and so comfortable."
Amber,"Rating, 5 stars
,
·
February 2020
,
·
Stayed a few nights",I think Jay should charge more for his impeccable space! What a deal!
Hailey,"Rating, 5 stars
,
·
February 2020
,
·
Stayed a few nights",Beautiful home and Jay was super accommodating and quick to respond! Would definitely stay again next time we’re in Lafayette.
Stacey,"Rating, 5 stars
,
·
January 2020
,
·
Stayed a few nights",Best place in Lafayette to stay!
Preeti,"Rating, 5 stars
,
·
January 2020
,
·
Stayed a few nights","Look no further!
If you are heading to Lafayette for work or play, I can't recommend a better place to stay. I travel for work and am there for about 2 weeks a month. The apt is situated in what I find to be the best area in Lafayette with shopping, restaurants and coffee within a 5-10 minute walk.
The place is immaculate, furnished tastefully, with serene colors and lovely accents. The kitchen is highly functional and a coffeemaker on hand is a plus! Jay is accessible, responds quickly to any questions and offers loads of helpful suggestions on food, drink, and local attractions. Of the various types and levels of accommodation I have tried in Lafayette, this is my hands down favorite!"
