name,rating_info,review_text
Yoon,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed one night",Lovely place in great location
Raphael,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","This was one of my top favorite Airbnb stays! The location is perfect! The surroundings were beautiful with lots of roses and a neatly manicured property. The instructions on where to park were clearly marked. There was a fun hanging swing for two by the front door of the suite as well as a little nook on the deck to relax with a meal if desired.
The suite itself is awesome, with lots of cool and enjoyable amenities, such as a fantastic antique-looking gas stove fireplace which was easy to use and perfect for some warmth/to get the chill out when the temperatures dipped low at night and in the early morning. I got a kick out of the heated toilet seat and the toilet light too!
The kitchen was charming, and I admired the shower stall nestled between the bathroom and the laundry room--what a cute design! The bed was fantastic--so comfortable. I slept really well. It was a very quick and easy walk to the hotels/casinos as well as the river walk. I hope to be back!"
Ruben,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Perfect for short and long stays close to the river walk I will be looking forward to stay again when in Reno.
James,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","My winning streak with Airbnb continues. This is a terrific little place. I absolutely loved the location, a very short walk from the Truckee River trail on a beautiful, tree-lined street mere blocks from downtown Reno. The place itself is small but it's cozy rather than cramped. Everything was clean and worked well, and communication from the owners was great. There's no television, but who comes to Reno to watch TV? I felt like I got a very good value here. Definitely recommended."
Jessica,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",One of my favorite places to stay in Reno!
Kenny,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Very clean place. Old neighborhood in Reno. Arrival and entry instructions are a lot but when you get there it all makes perfect sense!
Laura,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Very clean and a bit roomier than what I was expecting based on the photos. I would stay again.
Renee,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Super clean, quiet and safe environment. Our 2nd stay"
Scott,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed a few nights","It was nearly a perfect stay. Some small issues, but proactive communication made them ""no problem"". Location and price point perfect for what we needed. No television (maybe that's a feature, not a fault!) and perhaps a little loud (cats outside looking to hook-up, no fault of the airBNB). We'll definitely be back if we're ever in Reno again."
Krayla,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","This is my second stay at this lovely home. I have enjoyed it each time and will always look to see if it is available when I am in Reno. Super cute spot with all the amenities of home, right near the river with beautiful views close by, walkable to restaurants and things to do."
Jana,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","The neighborhood is beautiful and quiet. Close to the River Walk and many restaurants, bars, and activities.
Bed was very comfortable - I felt like Goldie Locks - not too soft and not too hard - it was just right.
Pillows were very fluffy and cozy. If you prefer a thin pillow I recommend to bring your own.
Easy temperature control and peaceful lighting.
It was a lovely stay."
Nancy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Lisa’s suite is clean and has everything a person would need. Comfortable bed. Quiet. Charming. Plenty of blankets and towels/washcloths/hand towels. The water at the bathroom lavatory gets hot right away. Has anyone else mentioned that the toilet seat is heated? Prrrrr. Lisa got back to us right away with any questions we had. The suite is a short walk (3-4 minutes) to the gorgeous river walk. Don’t miss it! And it’s a 5-6 minute ride to the train station. So convenient. We would stay there again.
H Macdaniel,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","An easy walk to the Reno Riverwalk, which is outstanding! We were able to walk to a fine restaurant, and choose to walk the river walk each day.
They have done a great job of taking an old brick rambler and creating a sweet place to stay.
The bath and shower are modest in size, but everything worked well. My wife was appreciating the heated toilet seat, which was new for her."
James,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","My only regret is that I didn't get to enjoy this beautiful little hideaway for longer. My trip to Reno was only an overnight stay but this was the kind of place you could be comfortable in for much longer. Loved the accomodations and amenities. Thsi will be my first choice on my return trips and hopefully it will be available, would definitley stay here again."
Suryadeep,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Had a wonderful stay at Lisa’s beautiful home. Felt really hospitable. It’s located at the heart of Reno with great accessibility. I’d highly recommend staying here. Would visit again!
Natalja,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Wonderful cozy place, convenient location, thank you for letting us check in earlier after a long drive to Reno. Will happily stay again :)"
Aram,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",This is a wonderful property if you want to look for a homey feel/vibe. I appreciate them for hosting me and I’ll always come back to this listing :)
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",We had a great stay! It was the 'perfect place' - very clean and very convenient. Will definitely stay here again.
Chris,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Very Cozy feel . Definitely would book again !!
Agnes,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Super cozy quiet spot to rest while in Reno. Would definitely stay here again!
Carrie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","We loved our stay and wished we could have stayed longer! The location couldn’t have been better (especially because of the river walk) and the home was cozy, comfortable and had everything we could have needed."
Many,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",The pictures didn’t do this place justice!!! Beautiful space and so peaceful outside as well. Would definitely stay here again ☺️
Anna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","I’ve stayed here four times. Exceptional location, has everything one might need, excellent communication."
Christine,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Cozy bed, hot shower, was able to clean our clothes after being on the road for a week. The place was so well decorated inside and out, it was easy to find even though we came in late. We enjoyed resting here."
Trish,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",perfect overnight stay! thank you!
Dana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",The hosts provide so many amenities in a compact space! From a pair of cozy robes to ample K-cups to charging ports right at the bed this is a very well stocked and well thought out space. Only thing I didn't notice when booking is there is no TV but honestly the great assortment of reading material (both books and magazines) made that a non-issue! There's even a bluetooth speaker to play music.
Moira,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Warm inviting space that not only was super clean but also in a walkable distance to the river walk and downtown. Definitely on the repeat list.
Jessica,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Cute place and friendly helpful hosts!
Katherine,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Fantastic location near the riverfront. Communication was excellent, even after we departed and left something behind . Very nice special touches, like we walked into a quaint Italian villa ! Enjoyed the gas fireplace during the blizzard on the night we stayed."
Jordan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","If I am ever back in Reno, I will keep this place in mind! Perfect stay"
Alex,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Extremely cozy studio that has everything you’ll need! Thank you Lisa and co-hosts!
Tyson,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Quiet, convenient ￼located, cozy place :)"
Shiloh,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",The place is beautiful and the extras offered make it that much more special!
Teresa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Quaint, clean and quick access to the Riverwalk. It was perfect for what we needed and very quiet."
Cecylia,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","This place was, as the name suggests, the perfect stay. Clean, quirky, beautiful, cozy, comfy, and so well-thought out. The hosts were super responsive. Check in was seamless, and we couldn’t have been happier with our visit. We didn’t want to leave! A lot of thought went into this lovely little space and it shows. If we are ever in Reno we will be staying here again!"
Mia,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Lovely stay! Very appreciative of all the amenities provided for such a great price. Would come again! Thank you!
Miguel,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","This place was great! It was a last minute booking and the host was very accommodating. The place was so cozy, and clean. I would highly recommend."
Paula,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Darling accommodations that are conveniently located.
I mentioned we would be in town earlier in the day and we were offered a 2 hour earlier check in without making a request; very kind host.
We would definitely stay here again."
Jessica,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Wonderful place!!
Very cozy and comfortable bed.
Thank you for accommodating at last minute ❤️"
Aaron,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Nice and cozy place to stay , parking space and close to reno downtown. Will stay again."
Peter,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Great location, clean and comfortable. We really enjoyed our time there!"
Justin,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","We had a great night in Reno, staying at Lisa’s place, which was very nice and exactly as described. It’s very close to the river and walkable to some fun bars and restaurants!"
L.H.,"Rating, 4 stars
,
·
January 2024
,
·
Stayed one night","great quiet location, convenient to everything, great for walks"
Sarah,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","Couldn’t ask for a better location, comfy bed, cozy place. Will stay again."
