name,rating_info,review_text
Steve,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Highly recommended
Tyese,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week","I would have stayed in this home forever, it’s clean, and quiet. And he is an excellent host"
Tyese,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week",I feel very at home here
Tyese,"Rating, 5 stars
,
·
February 2024
,
·
Stayed over a week",I love being here it’s so relaxing and comfortable
Terri,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Scott's place was a great place to stay. It is as pictured and I would definitely stay there again.
Matt,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Second time staying with Scott. Won’t be my last. Friendly and gracious host. Everything is always clean and convenient to get in. Also very accommodating with requests. Only place I stay in Lima when I go!
Rock,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Scott and Cobie were the best host I've stayed with. Great communication and very easy to talk to. The house and room were spotless and I couldn't ask for a better Airbnb!!
Tyese,"Rating, 5 stars
,
·
December 2023
,
·
Stayed over a week","I was completely at home staying in Scott’s home, it was so very peaceful and quiet. I would surely recommend his home."
Tyese,"Rating, 5 stars
,
·
November 2023
,
·
Stayed over a week",Love the space
Nancy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Scott’s place was very cozy & clean! He was very pleasant & hospitable . Will definitely stay there again!
Joseph,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",👍🏾👍🏾
Michael,"Rating, 5 stars
,
·
June 2023
,
·
Stayed about a week",Quiet and comfortable
Jerry,"Rating, 5 stars
,
·
June 2023
,
·
Stayed about a week","Scott was a great host, and his home was one of the best I have ever stayed at. I would recommend his home to anyone visiting the area."
Christopher,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Great place to stay.
Matt,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Staying at Scott’s home was amazing. Clean/nice room. Has everything you need. Scott’s hospitality was what stood out. Great person. Communication was also amazing. Would recommend to anyone staying in the area to give Scott’s place a try. Will be back!
Dominic,"Rating, 5 stars
,
·
August 2022
,
·
Stayed over a week","Stayed 3 months for a contract job. Absolutely no complaints. Scott is great, his dog is great. Location is in a safe quiet neighborhood but still close to everything. House is safe and clean and has space for everything you need."
Matt,"Rating, 5 stars
,
·
May 2022
,
·
Stayed over a week","Scott was friendly and helpful. Everything was safe, clean, peaceful and comfortable. I would stay here again if the opportunity comes up again in the future."
Joe,"Rating, 5 stars
,
·
October 2021
,
·
Stayed over a week","Stayed here while working in Lima
Definitely recommended"
Maleah,"Rating, 5 stars
,
·
June 2021
,
·
Stayed a few nights","An amazing place to stay! Everything is very nice, neat, and comfortable! The host is very kind and welcoming as well!"
Sterling,"Rating, 5 stars
,
·
May 2021
,
·
Stayed a few nights",Scott was a great host. I enjoyed my stay. It was super clean. Communication was great. Overall just a great experience.
Jose Angel,"Rating, 5 stars
,
·
April 2021
,
·
Stayed a few nights","Great host, explains all the details of your home and makes you feel at home in your home and very good neighborhood. One of my best experiences, Thanks Scott"
Lucas,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Our stay was nice and quiet, exactly what we needed for a wedding weekend!"
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Phenomenal
Kenneth,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great place, walking distance to Faurot park. Host gave great suggestions for eclipse viewing!"
Ashley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Wonderful little place! It felt so cozy and comfortable. Space was exactly as described. The bed was very squeaky which made it a little hard to sleep but i also don't always sleep well in new places. The neighbors sharing walls were very noisy but out of owners control. Overall would definitly stay again and would recommend!
C Darlene,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",Hosts were VERY responsive! Cozy place to stay.
Kelvin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Stand here for 7 days. Small spot but peaceful. Next to street but not bad. Will stay here again
Alex,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Nice little place to stay.
Ryan,"Rating, 1 star
,
·
February 2024
,
·
Stayed a few nights",The noise level was terrible but I understand that’s out of the hosts control. I was very disappointed in the cleanliness of this rental. I would not stay here again or recommend.
Seth,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week",Great for the price
Pamela,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Comfortable and Cozy. Will return and definitely recommend.
Courtney,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",I always love staying here!
Megan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed over a week",definitely will stay here again
Courtney,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Another great stay. Easy check in, clean space and quiet. Perfect for my needs!"
Leanna,"Rating, 5 stars
,
·
October 2023
,
·
Stayed about a week",Great stay!
Courtney,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Another great stay!
