name,rating_info,review_text
Megan,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed one night","We booked very late notice and the hosts were responsive and easy to work with. The apartment was exactly as pictured, clean, and comfy. Will be staying with them again."
Sue,"Rating, 3 stars
,
·
2 days ago
,
·
Stayed a few nights",Very clean. Just very close to main road which had traffic noise.
Lauren,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed a few nights","If your visiting Ole Miss this is the place to stay. A short car ride to campus (less then 2 min) makes it ideal! It was exactly as described with nicely appointed furnishings and the bed was comfy!!!
Will definitely stay here again.
Nathan was kind enough to let us check out a little later in the morning which was awesome!!!
Hotty Toddy."
Leslie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Enjoyed our stay. One of the best places we have stayed in Oxford as the location was spot on and the place is cute, roomy, and comfortable! We will use them again. Thank you."
Gary,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Easy to get around Ole Miss and Oxford, close to baseball stadium, was very comfortable for two couples. Condo is upstairs so have to be able to climb stairs."
Kim,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Beautiful home. Comfortable space. Peaceful back deck to drink morning coffee.
Amy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Beautifully decorated and immaculate!
Nora,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights","Awesome, would stay here again!"
Melissa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",This condo was great! Perfect for 2 adult couples! Walkable to the square and Ole Miss campus! The beds were super comfortable!
Copeland,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",it was so great! nathan is very good at communicating and will answer any sort of question or concern you may have!
Jennifer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This was our second stay at this condo and it was wonderful!! The condo was very clean and beautifully decorated. The beds are extremely comfortable and we just felt right at home. Great location, super close to the square and Ole Miss, we will definitely book again."
Mitchell,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Anthony was a great host as always. His homes are always clean and in great condition. We enjoyed our stay.
Bethann,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great condo!!!
Dave,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","I/we have stayed at several of Nathan’s listings. Always responsive, helpful and thoughtful. As baseball dad, easy access to Swayzie. Jessica helped us out on a 2am arrival due to weather/planes - enjoyed it, thanks!!"
Bryce,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",this is my fourth time staying at Nathan's property and I always am pleased with how it goes. They're extremely communicative and helpful. definitely recommend
