name,rating_info,review_text
Bridget,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed with kids","Would definitely stay again if we are in the area. Host was very responsive and pleasant. House was exactly as pictured, clean and comfortable. Check in was easy. Neighborhood quiet and friendly. Close to freeways and shopping. Absolutely loved our stay here!!!!!!"
Meryle,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip",Had a really great stay here. Don't think the description does Nick's place justice. Great location and set up for families.
Tim,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",Very spacious and the kitchen was awesome.
Terry,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed with kids",Would recommend this place .
Amy,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","Clean, beautiful, and spacious home that accommodated everything we needeed."
Kim,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week","My colleagues and I were in town for a work function, and Nick's AirBnB turned out to be the perfect place to stay! It was situated in a great neighborhood, very close to Utica. The AirBnB looked exactly as it had been pictured and described. Nick was proactive in making sure that we were ready to check in and was available to answer any questions we had during our stay. I would definitely recommend this place to anyone looking for a comfortable and convenient place to stay."
Peter,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","Beautiful place, relaxing environment with a wonderful host."
Wallace,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",Nick was responsive and went over and above to make sure we had a good stay on his property.
Sarah,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","Great place, great host! Plenty of space for everyone"
Nicholas,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Nick was attentive and helpful. The house was great, comfortable, and convenient. Would recommend and stay again."
Amy,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","Nick’s place was just as described. He was always quick to respond and helpful.
The house was very spacious and clean, it was just minutes away from restaurants and stores. We enjoyed our stay there!"
Marek,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",We had a great stay here. The house was as advertised and was very clean. Would definitely stay again.
Emily,"Rating, 5 stars
,
·
January 2024
,
·
Group trip",nick was great! he was very responsive and helpful through every step of the check in process to the check out. the home itself is beautiful and very clean. it was a pleasure to stay at nick’s place!
Liliana,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","Upon arrival, Nick was very responsive with any concerns. My family and I had a great time. His place had all the necessities we needed, perfume, board games, laundry downstairs, projector, etc. We were only 4mins from Walmart and the mall, everything was close by which I loved. I honestly can’t wait to stay again! I’ll be coming back soon."
Kelton,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","friendly host with quick responses, clean and organized house, safe and comfortable place."
Brad,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Thanks!
Odis,"Rating, 4 stars
,
·
Today
,
·
Stayed with kids","Had a great experience at Eder’s place, beds and couch were very comfortable. The living room gives you a nice welcoming. I would consider staying here on my next trip to Utica."
Anton,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed a few nights",We had a great time staying in this very spacious apartment with a nice living room and kitchen. Easy to park and all the shops very close.
Valerie,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed over a week",was in town for work and Eder's place worked well for us while we stayed. Thank you Angel for being a wonderful host.
Randy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I chose to stay at Eder’s apartment when I was visiting Utica for a few days and was very satisfied with how everything turned out. Eder was very kind and accommodating offering assistance in any way that he could help. The apartment was very clean with brand new appliances and tvs. On top of everything else the price was very reasonable. I would definitely recommend staying here to anyone interested in visiting the Utica area. Thanks again Eder!
Abbie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The place was amazing. Just like the pictures. Eder was an amazing very responsive host. Decor was beautiful 😍 and 5 mins away from Wynn hospital. I would definitely stay here again. Thanks for having me!
Tami,"Rating, 4 stars
,
·
3 days ago
,
·
Stayed a few nights","Antonina’s place is very clean. It’s a true loft space with a full kitchen. Which is perfect for a foodie like myself. I was able to cook healthy meals, while being away from home due to work. The area is being renovated, which adds to the excitement"
Ana,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Beautiful apartment and central location. Would love to stay here again! I prefer this airbnb over the hotels in the area.
